UXLINK,BUY,LIMIT,IOC,1271,0.9305415,0.9220000,FILLED,667,1271,1737899220349,1182.7182465
SKL,BUY,LIMIT,IOC,9597,0.05296,0.05239,FILLED,9597,9597,1737899224391,508.25712
VINE,SELL,LIMIT,IOC,130,0.3681247,0.3745800,FILLED,130,130,1737899226182,47.856211
VINE,SELL,LIMIT,IOC,155,0.3675646,0.3745200,FILLED,83,155,1737899227530,56.972513000000006
VINE,SELL,LIMIT,IOC,692,0.3675123,0.3744900,FILLED,235,692,1737899229793,254.31851160000002
JUP,BUY,LIMIT,IOC,1012,1.1990349,1.1892978,FILLED,82,1012,1737899237155,1213.4233188
JUP,BUY,LIMIT,IOC,21,1.2010695,1.1894000,FILLED,21,21,1737899238228,25.2224595
JUP,BUY,LIMIT,IOC,179,1.2014513,1.1899000,FILLED,179,179,1737899239616,215.0597827
VINE,SELL,LIMIT,IOC,140,0.3671032,0.3744400,FILLED,140,140,1737899240601,51.394448000000004
JUP,BUY,LIMIT,IOC,7857,1.2021881,1.1920583,FILLED,5422,7857,1737899241668,9445.591901700001
JUP,BUY,LIMIT,IOC,211,1.2036024,1.1930000,FILLED,146,211,1737899243203,253.96010640000003
VINE,SELL,LIMIT,IOC,60,0.3665125,0.3735100,FILLED,60,60,1737899245447,21.990750000000002
